,Protein,ENSG,UniProt,Source,Score,disease_id
265,NDUFB6,ENSG00000165264,O95139,uniprot_swissprot,0.37069923734654764,MONDO_0004975
266,JAZF1,ENSG00000153814,Q86VZ6,uniprot_swissprot,0.37067439008953407,MONDO_0004975
267,PPP3CC,ENSG00000120910,P48454,uniprot_swissprot,0.37015415801015017,MONDO_0004975
268,CAPN2,ENSG00000162909,P17655,uniprot_swissprot,0.37005184454391904,MONDO_0004975
269,NGLY1,ENSG00000151092,Q96IV0,uniprot_swissprot,0.3700257722228128,MONDO_0004975
270,ZNF629,ENSG00000102870,Q9UEG4,uniprot_swissprot,0.3695798546847018,MONDO_0004975
271,DRD1,ENSG00000184845,P21728,uniprot_swissprot,0.3695798546847018,MONDO_0004975
272,NVL,ENSG00000143748,O15381,uniprot_swissprot,0.3695798546847018,MONDO_0004975
273,UNC5C,ENSG00000182168,O95185,uniprot_swissprot,0.3695798546847018,MONDO_0004975
274,CDYL,ENSG00000153046,Q9Y232,uniprot_swissprot,0.3695798546847018,MONDO_0004975
